employeeid,date,time_in
014228453,02/15/2020,08:23:01
414133453,02/15/2020,10:23:01
514412353,02/15/2020,09:23:01
025112453,02/15/2020,08:23:50
016138453,02/15/2020,08:23:01
014228453,02/16/2020,11:23:00
414133453,02/16/2020,08:23:01
514412353,02/16/2020,10:23:01
025112453,02/16/2020,08:23:01
014228453,02/17/2020,09:40:01
014138453,02/17/2020,08:23:01
014228453,02/18/2020,07:23:01
514412353,02/18/2020,08:23:10
025112453,02/18/2020,08:35:01
014228453,02/19/2020,08:20:01
014228453,03/14/2020,01:01:22
414133453,03/14/2020,01:01:54
514412353,03/14/2020,01:02:33
025112453,03/14/2020,01:03:08
016538453,03/14/2020,01:03:30
014228453,03/14/2020,13:50:58
414133453,03/14/2020,13:51:36
514412353,03/14/2020,13:52:50
025112453,03/14/2020,13:53:12
016538453,03/14/2020,13:53:31
514412353,03/16/2020,19:09:18
414133453,03/17/2020,13:17:18
414133453,03/17/2020,13:22:44
